iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.00020885467529296875,4.889683865146963,62.17275246692621,AW,0.25,20.116770575302734,-62.17275246692621,AFW
1,0.00037479400634765625,-7.700058107572266,11.668605496596443,AW,0.1207501848441206,15.503916578181814,-11.668605496596443,AFW
2,0.0005331039428710938,-8.404551242865837,8.456050688322271,FW,0.08347081240496146,14.81301904444155,-8.456050688322271,AFW
3,0.0007009506225585938,-8.757467953211734,6.504651679639262,AW,0.0642990536942686,14.527743440496636,-6.504651679639262,AFW
4,0.0008537769317626953,-8.966589427017555,4.5756124437608925,FW,0.045170138799034705,14.293124966539162,-4.5756124437608925,AFW
5,0.0010068416595458984,-9.069929951605193,3.1164255774251566,AW,0.03874542191768527,14.241052054128902,-3.1164255774251566,AFW
6,0.0016949176788330078,-9.130303563541393,2.4822816482007757,AW,0.024790749950094726,14.219713266814408,-2.4822816482007757,AFW
7,0.0021147727966308594,-9.16107237536452,2.0651264974969568,AW,0.023017637904111026,14.162175060233041,-2.0651264974969568,AFW
8,0.0022699832916259766,-9.184839542337302,1.700090558237673,FW,0.017880838019358757,14.120501692258115,-1.700090558237673,AFW
9,0.002427816390991211,-9.20003906428235,1.379664435849931,AW,0.01347588366887215,14.126557353019749,-1.379664435849931,AFW
10,0.0025811195373535156,-9.209335163002148,1.016564893535222,AW,0.01206823630006685,14.080961684558721,-1.016564893535222,AFW
11,0.002736806869506836,-9.215469235676915,0.782349203532584,FW,0.008380483863206065,14.071077677859327,-0.782349203532584,AFW
12,0.0028901100158691406,-9.218747468114708,0.6838073073731485,FW,0.007884459215270949,14.079634857513613,-0.6838073073731485,AFW
13,0.0030448436737060547,-9.221443193527751,0.5789623694429622,AW,0.006131851021092799,14.072069869970516,-0.5789623694429622,AFW
14,0.0031948089599609375,-9.223218249025877,0.5143347962725364,FW,0.004533611563214498,14.066663970298181,-0.5143347962725364,AFW
15,0.0033490657806396484,-9.224384146115757,0.44346960375536576,AW,0.004397602387317636,14.070531063125495,-0.44346960375536576,AFW
16,0.0035037994384765625,-9.225359247609834,0.34723274282960565,AW,0.0032695846068209033,14.06017100093976,-0.34723274282960565,AFW
17,0.0036568641662597656,-9.225926901025304,0.3052580333644049,FW,0.0030045597521675582,14.056587153300274,-0.3052580333644049,AFW
18,0.003999948501586914,-9.226385484025839,0.26409312795114687,AW,0.003032995027342873,14.057939863928624,-0.26409312795114687,AFW
19,0.004331827163696289,-9.226785980597764,0.23781666286315117,FW,0.0021461212909172247,14.054477884945742,-0.23781666286315117,AFW
20,0.004682064056396484,-9.22704117229952,0.20904325429465936,AW,0.002064238941233667,14.056969215121411,-0.20904325429465936,AFW
21,0.004998922348022461,-9.227256929912475,0.18813431983823756,FW,0.0020774449919980544,14.05450530146951,-0.18813431983823756,AFW
22,0.005246877670288086,-9.227452349262755,0.18204071189085944,AW,0.0016994439326960314,14.055765479315774,-0.18204071189085944,AFW
23,0.0054399967193603516,-9.227607033254424,0.1666837849038961,FW,0.0015158271290419648,14.052223936801873,-0.1666837849038961,AFW
24,0.005803108215332031,-9.227733365155983,0.14889499523995164,AW,0.0013531740563192379,14.052909503705381,-0.14889499523995164,AFW
25,0.0061109066009521484,-9.227834105578324,0.1381120824867268,FW,0.0012648168034893358,14.051325513376096,-0.1381120824867268,AFW
26,0.00644373893737793,-9.227921448819668,0.13159740024640798,AW,0.0011726586949239476,14.053413044503108,-0.13159740024640798,AFW
27,0.006638765335083008,-9.227998608237485,0.11668631139930875,FW,0.0012299546116150062,14.051732430083508,-0.11668631139930875,AFW
28,0.0067729949951171875,-9.228070367670894,0.11576199673870614,FW,0.0011674113170008073,14.052751847283805,-0.11576199673870614,AFW
29,0.006903886795043945,-9.228137938603425,0.10701212555021113,AW,0.0009910717212912408,14.052592228514465,-0.10701212555021113,AFW
30,0.007031917572021484,-9.22819096694916,0.10015550717364502,FW,0.0009214720584716919,14.050419986192216,-0.10015550717364502,AFW
31,0.007159709930419922,-9.228237112199844,0.0929884532564559,AW,0.0008132330251658097,14.052458890457169,-0.0929884532564559,AFW
32,0.007287740707397461,-9.228274922840416,0.08639695078570883,FW,0.000791771337941333,14.049803114243755,-0.08639695078570883,AFW
33,0.007416963577270508,-9.228309126155077,0.08214598961113012,AW,0.0007314968604289344,14.05071817542568,-0.08214598961113012,AFW
34,0.007545948028564453,-9.228339170921823,0.07832511379419994,FW,0.000713936277741584,14.04963801487212,-0.07832511379419994,AFW
35,0.007675886154174805,-9.228367130491922,0.0680038886006372,AW,0.0006680387794890922,14.049999875127197,-0.0680038886006372,AFW
36,0.0078029632568359375,-9.228389845109296,0.06630143127477972,FW,0.0006426152365650213,14.04911572946702,-0.06630143127477972,AFW
37,0.007938861846923828,-9.228411148264264,0.062128460976397015,AW,0.0006159234002606071,14.050149817749775,-0.062128460976397015,AFW
38,0.008138656616210938,-9.228430281450734,0.05450803493556003,FW,0.0005502066516107576,14.048820778207343,-0.05450803493556003,AFW
39,0.008493900299072266,-9.22844527679243,0.052339307661586634,AW,0.0005085290165540847,14.049216598721696,-0.052339307661586634,AFW
40,0.008640766143798828,-9.228458584820746,0.049970963101939284,FW,0.00045711540201299875,14.048256915171738,-0.049970963101939284,AFW
41,0.008775949478149414,-9.228470006069195,0.04688391552708871,AW,0.0004288035719990462,14.049118441649796,-0.04688391552708871,AFW
42,0.008905887603759766,-9.228480058064422,0.044461547503145835,FW,0.00044403756005585195,14.048008663936615,-0.044461547503145835,AFW
43,0.009036779403686523,-9.228489929362958,0.040187440528303746,AW,0.0003574626481352969,14.048504341241967,-0.040187440528303746,AFW
44,0.009166955947875977,-9.22849711211741,0.03891231252032113,FW,0.0003547802411354902,14.047816141542418,-0.03891231252032113,AFW
45,0.009297847747802734,-9.228504014777226,0.035503570937453315,FW,0.00035010219519719904,14.048229726595347,-0.035503570937453315,AFW
46,0.009430885314941406,-9.228510229716282,0.034455676626235186,AW,0.0003208409817632491,14.048296726946715,-0.034455676626235186,AFW
47,0.009562969207763672,-9.228515757112842,0.032956889822079,AW,0.00029352604917586743,14.04796697753055,-0.032956889822079,AFW
48,0.009695053100585938,-9.22852059396567,0.033739666739126595,FW,0.00028934073821467035,14.04735048209597,-0.033739666739126595,AFW
49,0.009825706481933594,-9.228525475095713,0.030741581247374288,AW,0.00027558225107029646,14.048044150926593,-0.030741581247374288,AFW
50,0.009958982467651367,-9.22852971101279,0.030170841089979392,FW,0.00025715431453154,14.047319698840749,-0.030170841089979392,AFW
51,0.010087966918945312,-9.228533590293768,0.029832860456784693,AW,0.0002703568224829629,14.048082998659899,-0.029832860456784693,AFW
52,0.010216951370239258,-9.228537623052455,0.029190292185553357,FW,0.0002564487571597773,14.04720481369678,-0.029190292185553357,AFW
53,0.010356903076171875,-9.228541365959522,0.027949030903252958,AW,0.0002456351302185048,14.047839218745132,-0.027949030903252958,AFW
54,0.010502815246582031,-9.228544798591452,0.02766659382882205,FW,0.00023521022024467807,14.047058409916477,-0.02766659382882205,AFW
55,0.010632038116455078,-9.228548052324264,0.026526624664914025,AW,0.00024290187687943266,14.047597175669056,-0.026526624664914025,AFW
56,0.010760068893432617,-9.228551274007721,0.026315298310203336,FW,0.00025119434770753144,14.046960841644676,-0.026315298310203336,AFW
57,0.010887861251831055,-9.228554579134826,0.025997061371188356,AW,0.0002479523534418571,14.047453384821821,-0.025997061371188356,AFW
58,0.011014938354492188,-9.22855780215109,0.025964783160439875,FW,0.00023696697327613435,14.046841328585005,-0.025964783160439875,AFW
59,0.011143922805786133,-9.228560878549134,0.024656999907192716,AW,0.0002462713890890942,14.047273738725185,-0.024656999907192716,AFW
60,0.011272907257080078,-9.228563914705946,0.023989417548865077,FW,0.00021538090444787127,14.046749349208234,-0.023989417548865077,AFW
61,0.011401891708374023,-9.22856649813717,0.023769323410346713,AW,0.00023152408797234427,14.046990873847044,-0.023769323410346713,AFW
62,0.011528968811035156,-9.228569249722629,0.024186805882328827,FW,0.00023195327529053746,14.046766619938506,-0.024186805882328827,AFW
63,0.011656999588012695,-9.22857205482705,0.023978072410587838,AW,0.00022051489216839582,14.04687950819847,-0.023978072410587838,AFW
64,0.01178598403930664,-9.228574698588076,0.022764326032916567,FW,0.00020700064722017282,14.046542005470382,-0.022764326032916567,AFW
65,0.01191401481628418,-9.228577054703186,0.022518779582458272,FW,0.00021207243871918435,14.046803051947604,-0.022518779582458272,AFW
66,0.01209878921508789,-9.228579442509439,0.021275467115873144,AW,0.00020735860237525234,14.046903150195357,-0.021275467115873144,AFW
67,0.012384891510009766,-9.228581648335004,0.021246783002868926,FW,0.00022284426198672705,14.046583579132964,-0.021246783002868926,AFW
68,0.012521982192993164,-9.228584015696839,0.02191704230494195,AW,0.0002209070692956367,14.046678271096447,-0.02191704230494195,AFW
69,0.012652873992919922,-9.228586436511632,0.020426961777994093,FW,0.00019236169311808473,14.046405364842526,-0.020426961777994093,AFW
70,0.012840986251831055,-9.228588401194108,0.01956724558038143,AW,0.00017730233902566199,14.046565686144522,-0.01956724558038143,AFW
71,0.013103961944580078,-9.228590135853313,0.019691195194486012,FW,0.0001807292844202841,14.04634940300239,-0.019691195194486012,AFW
72,0.013267040252685547,-9.228591915241124,0.019009219517214244,AW,0.00016600853111482257,14.046523670354846,-0.019009219517214244,AFW
73,0.013432741165161133,-9.228593493087427,0.018544984876997912,FW,0.00015718916603363857,14.046182633533913,-0.018544984876997912,AFW
74,0.013592958450317383,-9.228594950622778,0.017767876593985002,AW,0.00016252978002507536,14.046467431050168,-0.017767876593985002,AFW
75,0.013753890991210938,-9.228596394527322,0.017685166490478216,FW,0.00016491759708470993,14.046079923789675,-0.017685166490478216,AFW
76,0.013910770416259766,-9.228597852824896,0.017542207413816967,AW,0.00016452386830060484,14.046327077980374,-0.017542207413816967,AFW
77,0.014575958251953125,-9.228599295880809,0.01729732522184933,FW,0.00015208589477902964,14.046025479094608,-0.01729732522184933,AFW
78,0.014867067337036133,-9.228600611220402,0.016232281147392235,AW,0.00015087640830970564,14.046238507557746,-0.016232281147392235,AFW
79,0.015198945999145508,-9.228601835754546,0.01618270605291118,FW,0.000153710412172503,14.045973219220532,-0.01618270605291118,AFW
80,0.017589807510375977,-9.228603079479749,0.015900428409782164,AW,0.00014986768892605347,14.046117476477818,-0.015900428409782164,AFW
81,0.018255949020385742,-9.228604270959977,0.015591585617515344,FW,0.00015416468401446736,14.045910891311795,-0.015591585617515344,AFW
82,0.018930912017822266,-9.228605472795918,0.015297884582079507,AW,0.00014967318166179513,14.04600254849573,-0.015297884582079507,AFW
83,0.0200808048248291,-9.22860661763744,0.015096489112364768,FW,0.00014549904755703638,14.045837787781663,-0.015096489112364768,AFW
84,0.0209658145904541,-9.22860771589984,0.015497164826220627,AW,0.00013281963062798706,14.045934366602554,-0.015497164826220627,AFW
85,0.021610021591186523,-9.22860874506369,0.01467608205817441,AW,0.0001458899153703403,14.045752846969004,-0.01467608205817441,AFW
86,0.022352933883666992,-9.228609815609877,0.014647160369203886,FW,0.00014250534071266519,14.045639101325067,-0.014647160369203886,AFW
87,0.02335500717163086,-9.228610859259165,0.013932390144307485,AW,0.00013428230031718272,14.045767428088164,-0.013932390144307485,AFW
88,0.024078845977783203,-9.22861179469586,0.013202048105237868,FW,0.00013013366782785692,14.045564318101617,-0.013202048105237868,AFW
89,0.024754047393798828,-9.22861265371134,0.013477018384728697,AW,0.00012424062135019551,14.045691016202005,-0.013477018384728697,AFW
90,0.02612471580505371,-9.228613490907907,0.013214480163362269,FW,0.00011635580505965374,14.045413370408369,-0.013214480163362269,AFW
91,0.026879072189331055,-9.228614259698645,0.012504507830057365,AW,0.00010938470146035797,14.045585324541266,-0.012504507830057365,AFW
92,0.02735280990600586,-9.228614943599572,0.012536736985376091,FW,0.00011390052687369812,14.045353223831555,-0.012536736985376091,AFW
93,0.02792501449584961,-9.228615657570046,0.012273072036354513,AW,0.00011045136433375384,14.04557238221553,-0.012273072036354513,AFW
94,0.028553009033203125,-9.22861633535882,0.011848291583078123,FW,9.992045467689309e-05,14.045305099153282,-0.011848291583078123,AFW
95,0.029297828674316406,-9.228616927302165,0.011596409333615429,FW,0.00012224214779107343,14.045510952660942,-0.011596409333615429,AFW
96,0.0298919677734375,-9.228617636087153,0.011997156017506092,AW,0.00011397961211180009,14.04553886736983,-0.011997156017506092,AFW
97,0.030064821243286133,-9.228618319802754,0.011158235100899376,FW,0.0001132914979467001,14.045380094612376,-0.011158235100899376,AFW
98,0.030234813690185547,-9.228618951869334,0.010977775803595468,AW,9.449103777972931e-05,14.045399436230166,-0.010977775803595468,AFW
99,0.030395984649658203,-9.228619470520048,0.010929387658040008,FW,9.991111247985015e-05,14.045322265707433,-0.010929387658040008,AFW
100,0.030555009841918945,-9.228620016503683,0.010862510140762999,AW,9.678419700399654e-05,14.045418574559204,-0.010862510140762999,AFW
