iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.0001628398895263672,-12.546987650517964,2.817141029564989,FW,0.026374311177902093,3.1474622000279355,-2.817141029564989,AFW
1,0.00034999847412109375,-12.584137727590857,2.1492607511953827,AW,0.022717424310019857,2.927096830678234,-2.1492607511953827,AFW
2,0.0005178451538085938,-12.608550561809745,1.5762317529547551,AW,0.017172882443816456,2.7893395505285508,-1.5762317529547551,AFW
3,0.0006818771362304688,-12.622084783108594,1.2964447986932754,FW,0.0138456014678199,2.7100627250990166,-1.2964447986932754,AFW
4,0.0008418560028076172,-12.631059812112467,0.9584026432555699,FW,0.010469065785598168,2.6780154614835863,-0.9584026432555699,AFW
5,0.0010068416595458984,-12.63607660227313,0.7619823896029393,AW,0.008441733362131587,2.653772123931188,-0.7619823896029393,AFW
6,0.0011758804321289062,-12.639292828352966,0.6050272301739171,AW,0.006516700008868463,2.6272735948212222,-0.6050272301739171,AFW
7,0.0013418197631835938,-12.641264218831086,0.4750178156367909,FW,0.005427208077194881,2.6202589389204336,-0.4750178156367909,AFW
8,0.001506805419921875,-12.642553229094002,0.33561560899616333,AW,0.0037182847547003878,2.607078803859379,-0.33561560899616333,AFW
9,0.001672983169555664,-12.643177186295187,0.2549342020986864,AW,0.0030316547169967874,2.6027764898002004,-0.2549342020986864,AFW
10,0.0018360614776611328,-12.64356362253335,0.21858720458965736,FW,0.00222796526374803,2.6047501787165666,-0.21858720458965736,AFW
11,0.0020008087158203125,-12.643807124882812,0.16071936079835525,AW,0.001563486333157704,2.602880859629978,-0.16071936079835525,AFW
12,0.002162933349609375,-12.643932766144847,0.13626083988616694,AW,0.0013206722933686748,2.5985436868500558,-0.13626083988616694,AFW
13,0.0023298263549804688,-12.644022744102807,0.10437588842396629,AW,0.001085040201495774,2.5956840139090516,-0.10437588842396629,AFW
14,0.0024929046630859375,-12.644079370120304,0.09216214062691352,FW,0.0009568329560433594,2.5939819111624423,-0.09216214062691352,AFW
15,0.003443002700805664,-12.644123462007034,0.0762571544499895,AW,0.0007438084595140571,2.5944106321926643,-0.0762571544499895,AFW
16,0.0038499832153320312,-12.64415182236532,0.06134850269790977,AW,0.0007136733581184594,2.5936717818626196,-0.06134850269790977,AFW
17,0.004135847091674805,-12.644173713761294,0.051085451909014784,FW,0.0005265314025307514,2.5924811245707717,-0.051085451909014784,AFW
18,0.004345893859863281,-12.64418716280861,0.041730588351256856,AW,0.00043248051811575837,2.592730733628017,-0.041730588351256856,AFW
19,0.004509925842285156,-12.644196186641851,0.03689752199083933,FW,0.0004134541472368886,2.5922496923339486,-0.03689752199083933,AFW
20,0.004670858383178711,-12.64420381435859,0.032512472689347836,AW,0.00036183625108771473,2.5924189703187333,-0.032512472689347836,AFW
