iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.0001480579376220703,-11.921203497874833,19.612886843611115,FW,0.18224997593026948,7.333014576631662,-19.612886843611115,AFW
1,0.0003459453582763672,-13.708427575460444,13.998428344489726,FW,0.1288877271800156,5.2542741212939115,-13.998428344489726,AFW
2,0.0005147457122802734,-14.61054038216724,11.48021587807162,AW,0.09226012227320528,3.963386655073119,-11.48021587807162,AFW
3,0.0006988048553466797,-15.14012344248408,6.743625380276895,AW,0.06763993540687238,2.685100574636446,-6.743625380276895,AFW
4,0.0008609294891357422,-15.394139780059739,5.090593688381903,FW,0.04686467432138652,2.0402402472355186,-5.090593688381903,AFW
5,0.0010268688201904297,-15.513424287714003,4.596181579715892,AW,0.04654639564204242,1.7105507739106995,-4.596181579715892,AFW
6,0.001194000244140625,-15.620392130840068,3.218194626856423,AW,0.030296370346393806,1.3756269187309076,-3.218194626856423,AFW
7,0.001352071762084961,-15.669141938971075,2.605604956008491,FW,0.024325391345559732,1.1584927184261562,-2.605604956008491,AFW
8,0.0015139579772949219,-15.70083311909449,2.1936511283063247,AW,0.018288989532950613,0.9617262183065622,-2.1936511283063247,AFW
9,0.0016751289367675781,-15.720892950356754,1.9177082554285514,AW,0.019883756087968874,0.8195406875628547,-1.9177082554285514,AFW
10,0.0018320083618164062,-15.739958571956176,1.5142209099951331,AW,0.015564770443828998,0.6931637062655749,-1.5142209099951331,AFW
11,0.0019910335540771484,-15.751742822388836,1.458964113540668,FW,0.014164923870148189,0.6202595097154385,-1.458964113540668,AFW
12,0.002149820327758789,-15.762075880187627,1.0264022694648864,AW,0.010111363334278372,0.5261687742458431,-1.0264022694648864,AFW
13,0.0023069381713867188,-15.767265043324471,0.9796240339826537,FW,0.008623164414576973,0.4824617855872996,-0.9796240339826537,AFW
14,0.0028128623962402344,-15.771488772879216,0.8852474911645342,AW,0.00887204267614295,0.44112254623781916,-0.8852474911645342,AFW
15,0.003159761428833008,-15.775415749639501,0.6617486838141705,AW,0.0065502528552275055,0.4035547406698025,-0.6617486838141705,AFW
16,0.003454923629760742,-15.777583060242296,0.6651939304685867,AW,0.006666719042335196,0.37318099176804087,-0.6651939304685867,AFW
17,0.0036199092864990234,-15.77980039076385,0.6102227835463908,FW,0.005633008169004321,0.34094120800590694,-0.6102227835463908,AFW
18,0.0038099288940429688,-15.781519085726167,0.5547564546654028,AW,0.004972119243718019,0.31552873951128474,-0.5547564546654028,AFW
19,0.0040929317474365234,-15.78289824334807,0.4640801815838037,FW,0.0036582282392049535,0.2940627177440849,-0.4640801815838037,AFW
20,0.0042879581451416016,-15.783747098960838,0.4271134703384947,AW,0.003810155749089461,0.27335870705612697,-0.4271134703384947,AFW
21,0.004506826400756836,-15.7845607833831,0.3924602058855742,AW,0.0037021935292750655,0.25991855547810394,-0.3924602058855742,AFW
22,0.004781961441040039,-15.785287265200457,0.36546342418479283,AW,0.003960924430872429,0.248505722888345,-0.36546342418479283,AFW
23,0.004968881607055664,-15.786011051703188,0.36303806200148286,AW,0.003386892365527071,0.2329781093980448,-0.36303806200148286,AFW
24,0.005102872848510742,-15.786625837123477,0.33970605670885484,FW,0.003020884838780674,0.21539461535590854,-0.33970605670885484,AFW
25,0.005234956741333008,-15.787138943561654,0.28640970860938686,AW,0.002495254564682275,0.2025384505128027,-0.28640970860938686,AFW
26,0.005506753921508789,-15.787496276128044,0.263623359706074,AW,0.0031144359350074448,0.1953956069436835,-0.263623359706074,AFW
27,0.00586390495300293,-15.787906795160426,0.26074906720983104,AW,0.002654334411858644,0.18757156368755334,-0.26074906720983104,AFW
