iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.0001621246337890625,11.866857817350194,10.89837976519279,AW,0.1088195280871215,12.653597698338672,-10.89837976519279,AFW
1,0.00034117698669433594,11.273879545868935,8.491986156319367,AW,0.08558644134529861,11.823345787489428,-8.491986156319367,AFW
2,0.0005040168762207031,10.91048010833248,6.010236163361812,AW,0.03844795776895808,11.295905282592884,-6.010236163361812,AFW
3,0.0006651878356933594,10.745067422463602,5.082571517014035,FW,0.05478368059100716,11.090307389105202,-5.082571517014035,AFW
4,0.0008313655853271484,10.605846435179078,3.5480824565643347,AW,0.03369325674161496,10.9427646477797,-3.5480824565643347,AFW
5,0.0009951591491699219,10.546073208604357,2.8825573831830447,FW,0.03529940103031581,10.818100553929877,-2.8825573831830447,AFW
6,0.0014262199401855469,10.49519693407342,2.5072040738794787,FW,0.022557968688045937,10.730122717400361,-2.5072040738794787,AFW
7,0.0019412040710449219,10.466918218576861,1.9426189972787307,AW,0.018381226407999895,10.75448599475638,-1.9426189972787307,AFW
8,0.002257108688354492,10.449064358770128,1.628778261430873,AW,0.01644905207631891,10.678033712115473,-1.628778261430873,AFW
9,0.0024261474609375,10.4356684295486,1.323253587985359,AW,0.0123643079545507,10.643568948601846,-1.323253587985359,AFW
10,0.002591371536254883,10.427487872116698,1.0519050310135376,FW,0.00978521286468451,10.634167022593061,-1.0519050310135376,AFW
11,0.002752065658569336,10.422341314795744,0.8752875990076254,AW,0.010071017591093159,10.656852760016465,-0.8752875990076254,AFW
12,0.0029151439666748047,10.417933796392308,0.7626784160023445,AW,0.00762664619994469,10.643936037239898,-0.7626784160023445,AFW
13,0.0030760765075683594,10.415025457170717,0.6521890993884722,AW,0.00668311531428203,10.620489890446757,-0.6521890993884722,AFW
14,0.0032351016998291016,10.412846129691754,0.6276054364336533,AW,0.006548858968953729,10.61345835356927,-0.6276054364336533,AFW
15,0.00339508056640625,10.410791079946076,0.5501349045888766,AW,0.005469509613772998,10.611598288846402,-0.5501349045888766,AFW
16,0.003553152084350586,10.409286595871315,0.476225726408247,FW,0.004350387889816135,10.605794943198973,-0.476225726408247,AFW
17,0.003717184066772461,10.408250712554821,0.42387284570410155,AW,0.004074739443556815,10.617145534572192,-0.42387284570410155,AFW
18,0.0038750171661376953,10.407387126853102,0.39631915072166035,AW,0.0035382753827726153,10.610890877296956,-0.39631915072166035,AFW
19,0.004191160202026367,10.40668598370574,0.360967643152555,AW,0.003383847344378048,10.604668117684456,-0.360967643152555,AFW
20,0.004360198974609375,10.406075254005394,0.3194197929745148,FW,0.002800896919089749,10.600594049172788,-0.3194197929745148,AFW
21,0.004714250564575195,10.405627923048376,0.2949145573814409,AW,0.0028761990686615776,10.60419558305522,-0.2949145573814409,AFW
22,0.0050580501556396484,10.405203806560738,0.263243700914815,AW,0.0029618688156817386,10.598209180099914,-0.263243700914815,AFW
23,0.005340099334716797,10.404813959906408,0.24264395192969862,FW,0.002326413107168947,10.600524323695462,-0.24264395192969862,AFW
24,0.005690097808837891,10.404531714871334,0.2231842834088024,AW,0.0020101820071201453,10.602300185449769,-0.2231842834088024,AFW
25,0.006516933441162109,10.404307394355946,0.20818187209587144,FW,0.0019126748255917586,10.600105289795703,-0.20818187209587144,AFW
26,0.006736040115356445,10.404108302242996,0.18986639245687448,AW,0.0017431033471840215,10.599034308844459,-0.18986639245687448,AFW
27,0.006905078887939453,10.40394282387089,0.1724172675392427,FW,0.0016510722872057676,10.596784624288155,-0.1724172675392427,AFW
28,0.007103919982910156,10.403800487184753,0.1729375255860005,AW,0.001764531102183608,10.598706481246573,-0.1729375255860005,AFW
29,0.007330179214477539,10.40364791036344,0.15728550164485103,AW,0.0015525606257053763,10.59666499396475,-0.15728550164485103,AFW
30,0.008031368255615234,10.403525812725016,0.15011959859135235,FW,0.0012894553439269313,10.593975451819393,-0.15011959859135235,AFW
31,0.008918046951293945,10.4034290264657,0.13758440321881013,AW,0.001379980495148461,10.597329097540642,-0.13758440321881013,AFW
32,0.009665966033935547,10.403334094569258,0.13674177321441028,AW,0.0012707506774399938,10.593223092620692,-0.13674177321441028,AFW
33,0.010293960571289062,10.403247212218787,0.13300317945823092,FW,0.0011226419465565724,10.59102490830104,-0.13300317945823092,AFW
34,0.011063098907470703,10.403172554744643,0.12203645762521897,AW,0.0010563233220866695,10.593960161133664,-0.12203645762521897,AFW
35,0.011812210083007812,10.403108099766479,0.11221379097105677,FW,0.0009674060446196415,10.591447562771524,-0.11221379097105677,AFW
