iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.0001220703125,4.889683865146963,29.51783028633788,FW,0.27938879156373114,20.116770575302734,-29.51783028633788,FW
1,0.00023484230041503906,0.7662083985053467,26.332573881303627,FW,0.21373653476536814,17.92945718562138,-26.332573881303627,FW
2,0.0003371238708496094,-2.0479081479161003,19.811472041063237,FW,0.16748375012651381,16.948356203750762,-19.811472041063237,FW
3,0.00043201446533203125,-3.7069579643980166,14.132375337965769,FW,0.128365854523568,16.291560293781817,-14.132375337965769,FW
4,0.0005259513854980469,-4.614015182750906,11.296805523308844,FW,0.10092842504642714,15.991892232178001,-11.296805523308844,FW
5,0.0006210803985595703,-5.184099577512576,9.672174027432396,FW,0.09093911524613506,15.808483916880284,-9.672174027432396,FW
6,0.0007190704345703125,-5.623889051793254,8.499371897046835,FW,0.08857704905819644,15.615459454673974,-8.499371897046835,FW
7,0.0008208751678466797,-6.000313692537544,7.554903660406288,FW,0.08384834174785916,15.476265125870578,-7.554903660406288,FW
8,0.0009160041809082031,-6.317046764532481,6.99688976048091,FW,0.07573822850485473,15.297947154751858,-6.99688976048091,FW
9,0.0010139942169189453,-6.582012782283783,6.403836673532643,FW,0.06565999870257033,15.130668028870481,-6.403836673532643,FW
10,0.0011119842529296875,-6.792250736121586,5.795995916157525,FW,0.0575818356191732,15.014127280516679,-5.795995916157525,FW
11,0.0012080669403076172,-6.959122778168384,4.579849731765073,FW,0.04775284151112822,14.998408937709451,-4.579849731765073,FW
12,0.0014369487762451172,-7.0684731973612625,5.168196684331175,FW,0.0496209902601355,14.943538774081372,-5.168196684331175,FW
13,0.002254009246826172,-7.196698716029097,4.39556474518596,FW,0.043324336327278244,14.90845839758099,-4.39556474518596,FW
14,0.0025048255920410156,-7.291916178713478,4.0239607794208565,FW,0.04066261877487792,14.860884140002305,-4.0239607794208565,FW
15,0.00273895263671875,-7.373728570282802,4.2003063862681405,FW,0.04482970897318819,14.83044615022913,-4.2003063862681405,FW
16,0.0029070377349853516,-7.467877826730115,3.66670333937533,FW,0.035719012740209895,14.76608271115285,-3.66670333937533,FW
17,0.0030257701873779297,-7.533363338376972,3.645072954780743,FW,0.03601512895114515,14.739164777954173,-3.645072954780743,FW
18,0.003125905990600586,-7.599002224628348,3.40316243157665,FW,0.03712873212110436,14.735600526432425,-3.40316243157665,FW
19,0.003409147262573242,-7.662179777771662,3.4709195706957003,FW,0.03475031032900929,14.658966290525633,-3.4709195706957003,FW
20,0.003615856170654297,-7.72248754387601,3.178018543484701,FW,0.03601547485025398,14.644852424358346,-3.178018543484701,FW
21,0.003943204879760742,-7.779716467339268,2.974684104899486,FW,0.030472198225156587,14.587905854307099,-2.974684104899486,FW
22,0.004149913787841797,-7.825039049190131,3.059878065419891,FW,0.030085023477666915,14.58325143998776,-3.059878065419891,FW
23,0.0043659210205078125,-7.871067300908603,2.728051534822412,FW,0.02759014391802047,14.586301632124172,-2.728051534822412,FW
24,0.0045108795166015625,-7.9087009681393745,2.7326524683018136,FW,0.025844520714080877,14.567979977582631,-2.7326524683018136,FW
25,0.004659891128540039,-7.944013014800076,2.6038473664056268,FW,0.023870381188065722,14.586677117470764,-2.6038473664056268,FW
26,0.00479888916015625,-7.975090429395898,2.698558369393463,FW,0.03192984736271702,14.601078459889232,-2.698558369393463,FW
27,0.0050008296966552734,-8.018172707812957,2.53636993447607,FW,0.028845321223597214,14.540255355525732,-2.53636993447607,FW
28,0.005084037780761719,-8.054753910563877,2.629406675634075,FW,0.028982031715170685,14.505536377631657,-2.629406675634075,FW
29,0.005191802978515625,-8.092856684396528,2.3682822506710144,FW,0.02347293730761828,14.493004296679828,-2.3682822506710144,FW
30,0.005259990692138672,-8.120651954794907,2.251713851640538,FW,0.022273127656674534,14.503709357627105,-2.251713851640538,FW
31,0.005330801010131836,-8.14572830982685,2.235989825467578,FW,0.026084287104964757,14.503691061654477,-2.235989825467578,FW
32,0.005401134490966797,-8.174890410112488,2.24087384928105,FW,0.022419073903234787,14.471606694128576,-2.24087384928105,FW
33,0.005468845367431641,-8.200009568329913,2.218426968572721,FW,0.02306045121394808,14.471052946873838,-2.218426968572721,FW
34,0.005537986755371094,-8.225588531770157,2.0609193974190023,FW,0.020821284327610178,14.44168381438488,-2.0609193974190023,FW
35,0.005607128143310547,-8.247044026145131,1.9637058259056495,FW,0.023160402164408962,14.450768831502607,-1.9637058259056495,FW
36,0.005676984786987305,-8.269784134475417,1.9009670555766411,FW,0.01844635212298241,14.435433174785555,-1.9009670555766411,FW
37,0.005745887756347656,-8.287317088316088,2.014619566624746,FW,0.020492715986688077,14.450029955824988,-2.014619566624746,FW
38,0.005815029144287109,-8.307959601616126,1.9553961332785657,FW,0.01944358593254828,14.43631718897944,-1.9553961332785657,FW
39,0.0058858394622802734,-8.32696955799091,1.8194660995897671,FW,0.01992713930847434,14.434944395978402,-1.8194660995897671,FW
40,0.005969047546386719,-8.345097935207697,1.8013289681337303,FW,0.021850336244294583,14.427680689134052,-1.8013289681337303,FW
41,0.0061838626861572266,-8.364777757027847,1.892757676250201,FW,0.01940925979836258,14.388046100348117,-1.892757676250201,FW
42,0.0064089298248291016,-8.383146269764692,1.6434582478218098,FW,0.017680665510313675,14.391719465897973,-1.6434582478218098,FW
43,0.0065729618072509766,-8.397674987544645,1.752084779013356,FW,0.017878819359296368,14.400441509641372,-1.752084779013356,FW
