iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,8.082389831542969e-05,-13.372454945399864,38.749319275093534,FW,0.36565248242776843,22.374232698692072,-38.749319275093534,FW
1,0.0001919269561767578,-20.456847338061944,30.43931095382088,FW,0.2306218492925733,18.458158415679865,-30.43931095382088,FW
2,0.00029015541076660156,-23.96683242974286,20.23241841842638,FW,0.15352497659167624,17.63703356478158,-20.23241841842638,FW
3,0.0003871917724609375,-25.51992321178383,15.342071598840588,FW,0.1437502603091902,17.393342513441752,-15.342071598840588,FW
4,0.00048422813415527344,-26.622636604791612,12.425457672990827,FW,0.11815758992495574,16.880334098759665,-12.425457672990827,FW
5,0.0005781650543212891,-27.35671767096918,11.312184202831649,FW,0.10766587435457076,16.68408811899324,-11.312184202831649,FW
6,0.0006721019744873047,-27.965685772498087,9.281955988840643,FW,0.10316001553531776,16.527993214316627,-9.281955988840643,FW
7,0.0007710456848144531,-28.444449134501557,8.517661558434371,FW,0.08825782729600988,16.189567380561783,-8.517661558434371,FW
8,0.0008671283721923828,-28.82032428589665,7.7043007310302585,FW,0.07215225232027916,16.033453846722015,-7.7043007310302585,FW
9,0.0009610652923583984,-29.098265611044948,6.605246905514819,FW,0.06970484922464927,15.979051624417828,-6.605246905514819,FW
10,0.0010581016540527344,-29.3284744808652,6.242190658404178,FW,0.06200742622837749,15.810241899069052,-6.242190658404178,FW
11,0.0011510848999023438,-29.522005569242424,5.137339398610957,FW,0.05214781490986438,15.750159213545178,-5.137339398610957,FW
12,0.0012469291687011719,-29.655956081286377,5.359291626314054,FW,0.049872019954646456,15.706691980283136,-5.359291626314054,FW
13,0.0013408660888671875,-29.78959543075154,4.875150181174816,FW,0.05407287700339342,15.675598379710303,-4.875150181174816,FW
14,0.0015060901641845703,-29.921402128811398,4.832340130889126,FW,0.04651128548262113,15.627621297304051,-4.832340130889126,FW
15,0.0017480850219726562,-30.033781304499872,4.19366678043694,FW,0.04497068887996431,15.617942537754246,-4.19366678043694,FW
16,0.0019440650939941406,-30.1280773465245,4.171674587156192,FW,0.045880373804916275,15.550957147187322,-4.171674587156192,FW
17,0.002045869827270508,-30.2237763412501,3.869561184907594,FW,0.035608472732126806,15.471744919524587,-3.869561184907594,FW
18,0.0022399425506591797,-30.292670923219134,3.678539388511455,FW,0.0465892342132057,15.498713888203792,-3.678539388511455,FW
19,0.0024471282958984375,-30.378361089786072,3.9340037184486096,FW,0.03697650226187728,15.425691150620512,-3.9340037184486096,FW
20,0.0025458335876464844,-30.451093938482792,3.531303550274089,FW,0.038241647532629694,15.396712765398668,-3.531303550274089,FW
21,0.0026929378509521484,-30.51861537133294,3.316691150531809,FW,0.03156740919621435,15.353234243836729,-3.316691150531809,FW
22,0.0030670166015625,-30.57096504469609,2.9926501962997705,FW,0.030988557090989167,15.378461998198295,-2.9926501962997705,FW
23,0.0032389163970947266,-30.61733400042679,3.0652972260346703,FW,0.03644693016008482,15.370811907794355,-3.0652972260346703,FW
24,0.0033919811248779297,-30.67319433738539,3.0205427654236643,FW,0.0321556935114595,15.322599261012549,-3.0205427654236643,FW
25,0.0034630298614501953,-30.721758161086992,2.9154475326734794,FW,0.03387766060810809,15.285149613929649,-2.9154475326734794,FW
26,0.0035400390625,-30.77114243210331,2.9079537238070716,FW,0.03194367562467245,15.271916096742634,-2.9079537238070716,FW
27,0.0036208629608154297,-30.817587797345745,2.7123688459797126,FW,0.027630409626655042,15.258097906438774,-2.7123688459797126,FW
28,0.003690958023071289,-30.855059728482257,2.3939392422716903,FW,0.02591812514604031,15.2519860662732,-2.3939392422716903,FW
29,0.0037620067596435547,-30.88608293691885,2.3874637343677065,FW,0.0324847538676789,15.256586249152118,-2.3874637343677065,FW
30,0.003832101821899414,-30.92486102280833,2.5278428709388545,FW,0.02642223308388807,15.190077329186867,-2.5278428709388545,FW
31,0.003904104232788086,-30.95825664957602,2.5126694605176763,FW,0.027039068759073272,15.199781161235016,-2.5126694605176763,FW
32,0.003973960876464844,-30.992226770731907,2.176253953153033,FW,0.026318032398455413,15.204256503765423,-2.176253953153033,FW
33,0.004050016403198242,-31.020864131755076,2.415465540246863,FW,0.025653119132582274,15.14156776445456,-2.415465540246863,FW
34,0.0042629241943359375,-31.051846244387377,2.0006491703169846,FW,0.023241431159197162,15.149237132202531,-2.0006491703169846,FW
