iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,8.511543273925781e-05,-12.546987650517964,2.817141029564989,FW,0.026374311177902093,3.1474622000279355,-2.817141029564989,FW
1,0.0001900196075439453,-12.584137727590857,1.910022226599177,FW,0.019577973082032577,2.927096830678234,-1.910022226599177,FW
2,0.0003719329833984375,-12.602834909460077,1.428582706511174,FW,0.014213087052497547,2.843665146829018,-1.428582706511174,FW
3,0.00067901611328125,-12.612987194644747,1.1651624192733074,FW,0.013162346361413835,2.7926554993181285,-1.1651624192733074,FW
4,0.0009028911590576172,-12.620655330309631,1.00545413450192,FW,0.009974770629134619,2.759526243365761,-1.00545413450192,FW
5,0.0011210441589355469,-12.625669917494521,0.8272251205807615,FW,0.00828312422781001,2.7332093679240574,-0.8272251205807615,FW
6,0.0013070106506347656,-12.629095921713585,0.7676943785997108,FW,0.0075165706847556005,2.72191984235449,-0.7676943785997108,FW
7,0.0014910697937011719,-12.631981136244105,0.5678726283361578,FW,0.00593877606165014,2.7084828845218776,-0.5678726283361578,FW
8,0.0016939640045166016,-12.633667370429723,0.46798105732359385,FW,0.004903751970255178,2.6917378912546814,-0.46798105732359385,FW
9,0.0018801689147949219,-12.63481480194567,0.4341448033172832,FW,0.004031869719034352,2.6873737820205803,-0.4341448033172832,FW
10,0.0020689964294433594,-12.635690009588757,0.37781340920228645,FW,0.003872528909477496,2.6824698708902823,-0.37781340920228645,FW
11,0.0022962093353271484,-12.636421556263514,0.34455850201404725,FW,0.0035802512005373923,2.673162645729528,-0.34455850201404725,FW
12,0.0025780200958251953,-12.637038359258757,0.3190035599977772,FW,0.0033886548201991244,2.666840477301507,-0.3190035599977772,FW
13,0.0029189586639404297,-12.637578855734382,0.30149971596152825,FW,0.0029521656489709374,2.6632121253664964,-0.30149971596152825,FW
14,0.0031790733337402344,-12.638023894286697,0.26005452469443113,FW,0.0027025922715797302,2.6602840577096494,-0.26005452469443113,FW
15,0.003371000289916992,-12.638375304961016,0.2548898826868075,FW,0.002639007736106038,2.6573632969554297,-0.2548898826868075,FW
16,0.003468036651611328,-12.638711633147151,0.2542692840402592,FW,0.0026007631389424516,2.657109953702996,-0.2542692840402592,FW
17,0.003551959991455078,-12.639042280237794,0.24672958653733984,FW,0.0023298567316010817,2.651583147403763,-0.24672958653733984,FW
18,0.0036821365356445312,-12.63932970253184,0.22709071311505813,FW,0.0022602832362705644,2.6488518625768758,-0.22709071311505813,FW
19,0.0038018226623535156,-12.639586347197817,0.21154483701254237,FW,0.002002811307149748,2.6470149095774675,-0.21154483701254237,FW
20,0.003874063491821289,-12.63979818939359,0.2080150346242306,FW,0.0020163774819207075,2.6463287295659454,-0.2080150346242306,FW
21,0.003952980041503906,-12.640007907809448,0.196761387862055,FW,0.0018598066182402059,2.6451211418233735,-0.196761387862055,FW
22,0.004029989242553711,-12.640190876875128,0.1834006014361367,FW,0.0018178494327156704,2.6421253641508198,-0.1834006014361367,FW
23,0.004243135452270508,-12.64035757421477,0.17811784686628787,FW,0.0019466470022611703,2.64000514023171,-0.17811784686628787,FW
24,0.004400968551635742,-12.64053094050109,0.1809901247189563,FW,0.0017226302311116983,2.6402393150799646,-0.1809901247189563,FW
25,0.004557132720947266,-12.640686830031282,0.15907485948985395,FW,0.0016050615925393712,2.6379555227617204,-0.15907485948985395,FW
26,0.0047109127044677734,-12.640814492504937,0.1637462376862305,FW,0.001705790908240961,2.635777822339646,-0.1637462376862305,FW
27,0.0048639774322509766,-12.640954150926683,0.1502298458853689,FW,0.0014819513354655798,2.633563533467831,-0.1502298458853689,FW
28,0.005042076110839844,-12.641065467587053,0.1417766968904231,FW,0.0012916467245041015,2.632987885514367,-0.1417766968904231,FW
29,0.005311012268066406,-12.641157030290127,0.15259721105151963,FW,0.001375574567191639,2.6330397141002586,-0.15259721105151963,FW
30,0.005470991134643555,-12.6412619847114,0.13653114294807123,FW,0.00141701169375248,2.6327854528945887,-0.13653114294807123,FW
31,0.0056231021881103516,-12.641358717824462,0.1405133158082546,FW,0.0012565883903894672,2.6295854031230457,-0.1405133158082546,FW
32,0.005773067474365234,-12.641447001525126,0.13049306561241292,FW,0.001365776670461857,2.630289657514768,-0.13049306561241292,FW
33,0.005927085876464844,-12.641536113717462,0.1256871912731422,FW,0.0012287340074658816,2.6293480717151,-0.1256871912731422,FW
34,0.00611114501953125,-12.641613331780572,0.13120832260698032,FW,0.0013079148748793227,2.6293247757803133,-0.13120832260698032,FW
35,0.006392240524291992,-12.641699136438998,0.13216083698232123,FW,0.0012970928151107037,2.6285797572067833,-0.13216083698232123,FW
36,0.0066111087799072266,-12.641784848875046,0.11706492571784573,FW,0.0011370175610254092,2.6255547285989502,-0.11706492571784573,FW
37,0.0069620609283447266,-12.641851401313208,0.11484853073963856,FW,0.0012203385520898836,2.625839521690295,-0.11484853073963856,FW
38,0.007684946060180664,-12.641921478358066,0.11355227030884191,FW,0.00107654851765634,2.6256324758264293,-0.11355227030884191,FW
39,0.007925033569335938,-12.641982600622198,0.1154419642841293,FW,0.0011728578403253998,2.62483184964529,-0.1154419642841293,FW
40,0.0081329345703125,-12.642050299128655,0.1135671304379353,FW,0.0011820784540916196,2.6248002940789603,-0.1135671304379353,FW
