iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.00011301040649414062,-11.921203497874833,19.612886843611115,FW,0.18224997593026948,7.333014576631662,-19.612886843611115,FW
1,0.0002460479736328125,-13.708427575460444,13.998428344489726,FW,0.1288877271800156,5.2542741212939115,-13.998428344489726,FW
2,0.00034689903259277344,-14.61054038216724,8.415500438733348,FW,0.08862288847173634,3.963386655073119,-8.415500438733348,FW
3,0.0004439353942871094,-14.983443360575103,6.714115889313439,FW,0.06785743481340206,3.1621349401220793,-6.714115889313439,FW
4,0.000537872314453125,-15.211244701219456,5.008235268013959,FW,0.05118352291632389,2.740308373486923,-5.008235268013959,FW
5,0.00063323974609375,-15.339414263524823,4.129646989125998,FW,0.041769298767399037,2.4100757730056626,-4.129646989125998,FW
6,0.0007297992706298828,-15.425660492971165,2.722942835871875,FW,0.03219769878765459,2.151699357662101,-2.722942835871875,FW
7,0.0008251667022705078,-15.469496739593877,2.5661779620115994,FW,0.026663189005251244,1.997071195645981,-2.5661779620115994,FW
8,0.0009191036224365234,-15.503707983604988,2.5520426263412115,FW,0.0307899155680734,1.8736490802594474,-2.5520426263412115,FW
9,0.0010178089141845703,-15.542996572100574,2.1831055940923876,FW,0.028039666637982522,1.7460836650421614,-2.1831055940923876,FW
10,0.001112222671508789,-15.573603348647502,1.8236676653158754,FW,0.019036421833663913,1.6280167427476497,-1.8236676653158754,FW
11,0.0013489723205566406,-15.590961402128187,1.5680803132113463,FW,0.01890690181945865,1.5602799782479837,-1.5680803132113463,FW
12,0.0015859603881835938,-15.605785172391643,1.4322829118545872,FW,0.018325200002134504,1.4867653647189674,-1.4322829118545872,FW
13,0.0017189979553222656,-15.61890860780133,1.4040210113649993,FW,0.013933414218399108,1.428368360615486,-1.4040210113649993,FW
14,0.0018811225891113281,-15.628690010962675,1.2156258284037527,FW,0.014799564081942182,1.4030190424564841,-1.2156258284037527,FW
15,0.0020911693572998047,-15.637685377136236,1.080468949446744,FW,0.01301502907322443,1.3638721216326113,-1.080468949446744,FW
16,0.002454042434692383,-15.644716544531114,1.079404980901283,FW,0.011350843203690782,1.3243969773777102,-1.079404980901283,FW
17,0.0025968551635742188,-15.650842622876866,0.9910331470508816,FW,0.011677655241152506,1.288351135235677,-0.9910331470508816,FW
18,0.0026700496673583984,-15.656629094588768,0.9274570895284004,FW,0.010271161664954587,1.267392385158956,-0.9274570895284004,FW
19,0.0027420520782470703,-15.661392125440697,0.9212189056977649,FW,0.009371035879488395,1.2453483602824313,-0.9212189056977649,FW
20,0.002814054489135742,-15.665708513149779,0.8352054007410209,FW,0.009613638669321214,1.2256110904546373,-0.8352054007410209,FW
