iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method,log_file,f*,abs_gap,rel_gap
49999,4.1716508865356445,10.403191106573772,0.0015366230629668964,FW,1.3800943937302515e-05,10.589837628181959,-0.0015366230629668964,FW,log_fw_random.csv,10.402479403135747,0.0007117034380250686,6.841671205910114e-05
590,0.1083519458770752,10.402479390618863,9.94120524344666e-07,AW,,10.586842454652324,-9.94120524344666e-07,AFW,log_afw_random.csv,10.402479403135747,-1.2516883529656297e-08,-1.203259631149395e-09
49999,4.190769910812378,-15.79101951099014,0.0008079940446730987,FW,7.875089500400445e-06,0.04638567487295918,-0.0008079940446730987,FW,log_fw_internal.csv,-15.791216700935914,0.0001971899457746673,1.248731807745886e-05
230,0.03740692138671875,-15.791216728077874,9.749694019723467e-07,AW,,7.049999738750303e-07,-9.749694019723467e-07,AFW,log_afw_internal.csv,-15.791216700935914,-2.7141959790810688e-08,-1.7188010464831401e-09
3469,0.283214807510376,-12.644226676426452,9.882146113915358e-07,FW,,2.5903584237551285,-9.882146113915358e-07,FW,log_fw_external_sum_simplex.csv,-12.644226676427444,9.912071163853398e-13,7.839207108120272e-14
317,0.07085084915161133,-12.644226676427355,9.727251338992327e-07,FW,,2.5903581995980822,-9.727251338992327e-07,AFW,log_afw_external_sum_simplex.csv,-12.644226676427444,8.881784197001252e-14,7.024379129140028e-15
49999,4.210191011428833,-32.10038749527648,0.0018578981894453728,FW,2.1579919442578274e-05,14.727976523355379,-0.0018578981894453728,FW,log_fw_external_non_negative.csv,-32.10129919500464,0.0009116997281637396,2.8400711218118276e-05
298,0.04989171028137207,-32.10129929160975,9.338382574441972e-07,FW,,14.727601387398417,-9.338382574441972e-07,AFW,log_afw_external_non_negative.csv,-32.10129919500464,-9.660510613684892e-08,-3.009383064218219e-09
49999,4.1754150390625,-9.22770899160379,0.0019103664913395647,FW,1.9988186334963673e-05,14.044432756686216,-0.0019103664913395647,FW,log_fw_external_all.csv,-9.228632677458927,0.0009236858551364691,0.0001000891342649909
542,0.10076189041137695,-9.228632677552074,9.697696660324832e-07,FW,,14.04404839002538,-9.697696660324832e-07,AFW,log_afw_external_all.csv,-9.228632677458927,-9.314682358763093e-11,-1.0093242069883596e-11
